name,host_is_superhost
Silenciosa Habitación cerca de Universidades.,t
Cozy private and idependent room close to UNAM,t
Gorgeous apartment close to hospitals/universities,t
Amazing entire apartment in Plaza Rio de Janeiro,t
"Habitación Santa Fe, Arcos Bosques, Univer Ibero",t
Cuarto para 2 personas en CDMX.,t
Acogedor departamento lleno de detalles felices,t
"Comodiad y seguridad, sur de la ciudad",t
Pequeño espacio agradable en coyoacán para mujer,t
"PL202 Ciudad De México, Loft en Polanco",t
"""La Españolita"" gem in Mexico City",t
Private Room for 2 at Casa La Terraza Condesa,t
"Business, tourism, location, new apt for you!",t
Modern & Comfy 1 bdr and 1 bthr Apt. in Polanco,t
Private Room with Bunk Bed at Casa La Terraza,t
Bonito departamento en CDMX,t
6BR/6BA in 5 Private Units at Condesa house.,t
5 fully equipped private units in Condesa house.,t
4 fully equipped private units in Condesa house.,t
Unit 4 Air Conditioning Condesa,t
Unit 5 Air Conditioning in Condesa,t
Stay at Two Updated Apartments in Trendy Condesa,t
Apartment 106 at Paris 10 Apartments - Mexico City,t
Habitación con baño privado,t
Sierra Candela PB1,t
Solo habitaciones en Ciudad de México,t
Habitación La luna en hermosa casa porfiriana,t
Departamento en Cuajimalpa a 5 min de Santa Fe,t
Hermosa casa colonial en la mejor zona. San Ángel,t
"COZY appartment, great LOCATION!",t
Stylish NEW apartment CDMX superb location & price,t
"Renovated loft, terrace, quiet,  limit Polanco",t
2 recámaras con baño p/4 personas en fin de año.,t
Departamento entero CDMX a 10 min basílica,t
great cozy 1 bedroom apartment WTC,t
"Unique Penthouse w/Rooftop Terrace, Central Loc.",t
Easy Stay 3.0.,t
Full apt at Roma norte at EspacioGomaga,t
Departamento 250m2 en Ciudad de México,t
Perfecta ubicación!! A 10 min del Aeropuerto,t
Cheery apt in San Pedro · 2 BR · 2 BTH · 1 PK,t
12 habitaciones en una bella casa con jardines,t
Habitación ZONA DE HOSPITALES y Tec de Mty,t
"Vita Polanco, Luxury Apartment.",t
Apartment 207 at Paris 10 Apartments - Mexico City,t
"Habitación al sur de la CDMX, Tlálpan ( 1 huésped)",t
Apartment 607 at Paris 10 Apartments - Mexico City,t
Habitación  privada muy cerca de WTC (Az#2),t
La casa de María. Habitación ámbar para huéspedes.,t
BIENVENIDOS A CASA! -DESCUENTOS SEGÚN ESTANCIA!,t
Hab privada c/baño compartido (Metro portales),t
Apartment Downtown 2 Rooms 1 to 8 Guests / 707 /,t
Mi casa,t
"Habitacion doble V, T.V. Amplia, luminosa, comoda.",t
Hermosa habitación en la mejor zona de la ciudad.,t
"Elegante, cómodo y recién renovado loft.",t
Edificio México Chulo - Apartment 101,t
CASA MAYA TIENE UN ESPACIO PARA TI,t
Depto. equipado CDMX con excelente ubicación.,t
Find Calm in the City at a Polanco Pad in Shades of Gray,t
★ CDMX Historic DWTN ★ Rooftop | 6 bds | Reforma 5,t
"GREAT & SAFE LOCATION IN MEXICO CITY, NAPOLES, WTC",t
HABITACIÓN EN LA NAPOLES.-WTC. VIGILANCIA 24hrs,t
Habitación acogedora en increíble ubicación,t
Espacio hermoso en la Roma,t
México Chulo - Apartment 102,t
Céntrica y práctica habitación en Tlatelolco,t
Rooms & LOFT private  para 3 personas,t
México Chulo - Apartment 202,t
Lovely Home,t
Apartment 301 at Paris 10 Apartments,t
Alcoba de lujo con gym a 2 calles de Parque Delta!,t
LOFT para 2 artistas /2 habitaciones  2 baños,t
Bonita habitación cerca de WTC y C.C.Metrópoli,t
GREAT PLACE AND LOCATION AT POLANCO 4,t
Loft cerca aeropuerto terminal 2,t
Depa ideal para parejas en Condesa,t
Cozy Room1 Lomas de Chapultepec,t
"Casa c/jardín para fiestas, eventos, boda, XV CDMX",t
Habitación cómoda cercana a universidades,t
Nuevo y Encantador en LA CONDESA,t
la casa de otto,t
"Habitación individual, hermosa casa en la Condesa",t
ENTIRE APARTMENT CLOSE TO POLANCO,t
Casa México 1,t
Nice apartment,t
LIVE CDMX AS A LOCAL AT MY IMMACULATE HOME!!!,t
"Departamento con 70 M2 de paz, calidez y armonía.",t
Habitación  - Fraccionamiento privado,t
"""DePau"" Modern Mexican Style Apartment in Coyoacán",t
Great new 1 bedroom  apartment in Polanco!,t
Comfortable rooms in south house of the CDMX,t
TRENDY 2BEDROOM APT @VIRREYES-LOMAS DE CHAPULTEPEC,t
Bienvenido a nuestro hogar!,t
"INCREIBLE DEPARTAMENTO, AMPLIO Y COMODO EN CONDESA",t
Hermoso Loft muy cerca del Centro #CDMX,t
"Céntrica habitación enCDMX, con jardín propio.",t
"Polanco bonita hab.privad.c/baño, depa compartido.",t
Bright & Cozy Apartment Loft In Top Location,t
Cozy Apartment In Quite Condesa Area,t
Acogedora habitación en Roma Norte,t
Depto 11 · El mejor concepto de alojamiento en CD de Mx,t
Cozy room w/breakfast_near Camino Real hotel,t
Private suite w/breakfast_near to Camino Real,t
2 - 3. Recámara privada en Hipódromo Condesa.,t
1 - 3. Habitación privada en Hipódromo Condesa,t
Bonito Departamento,t
Bedroom with private bathroom 1 block from Reforma,t
Private Room for two in Roma Sur,t
CASA TORRUCO   DOWNTOWN CENTRO/ todo el depto MEX,t
Casa Cosimo. Estudio Privado.,t
Precioso departamento,t
Lindo y confortable estadia,t
Cabaña en el bosque se aceptan mascotas,t
Habitación Cerca de la Condesa y Chapultepec,t
Modern and beautiful FULL house in ROMA/CONDESA,t
GREAT LOCATION & CALM APARTMENT- w/Parking lot,t
"Comodidad, Bienestar y seguridad",t
"Apartamento Escobedo, Polanco",t
*Luxurious apartment in the heart of Mexico City**,t
"Habitación privada Santa Fe, Arcos Bosques, Ibero",t
"Hakim, El lugar de los gatos. Hospedaje hogareño",t
"Habitación privada, estilo europeo, para petlovers",t
Departamento Premium Cuajimalpa Santa Fe,t
“ The HoME” Del Valle Norte CDMX!,t
"Cómodo Loft, zona de Hospitales, CU, UIC, UVM.",t
POLANCO - FLAT W/AMAZING ROOFTOP,t
Habitación y baño privado a 10 min del aeropuerto,t
Cosy Mexican apartment in Del Valle Colony.,t
Condesa Charming Apartment by Viadora,t
"BEST 5 star apartment in new POLANCO, + amenities",t
Miyana  2BR *BIENVENIDOS ESTANCIAS LARGAS* 50% OFF,t
PET-FRIENDLY 2 BR 1502@SANTA FE,t
Tu Casa en la Hipódromo Condesa,t
A Little Gem in the Heart of La Roma,t
Cozy room with a nice patio downtown Coyoacán,t
"DEPARTAMENTOS XOCHIMILCO,TODOS LOS SERVICIOS, CCTV",t
